City,Population,MedianIncome,PopulationWithHighSchoolDiploma,PopulationWithAssociatesDegree,PopulationWithBachelorsDegree,PopulationWithHighSpeedInternet,Latitude,Longitude
"Albion, OK",226.0,39583.0,66.0,13.0,4.0,60,34.662141299999995,-95.0993694
"Albion, PA",6780.0,50231.0,1812.0,340.0,341.0,1521,41.8900233,-80.36477959999998
"Albion, WA",528.0,68333.0,59.0,26.0,106.0,617,46.791599700000006,-117.2512267
"Albright, WV",2085.0,47340.0,659.0,91.0,104.0,275,39.4947351,-79.6398051
"Albrightsville, PA",7614.0,57225.0,2136.0,387.0,597.0,119,41.0116803,-75.606829
"Albuquerque, NM",655457.0,56552.294117647056,85524.0,37431.0,83966.0,546117,35.1047797,-106.6468093
"Alburgh, VT",1754.0,53550.0,472.0,163.0,135.0,529,44.9767276,-73.30256990000002
"Alburnett, IA",1056.0,84063.0,182.0,79.0,86.0,720,42.1489393,-91.6201078
"Alburtis, PA",5580.0,91607.0,1042.0,264.0,907.0,1774,40.5066319,-75.60022590000001
"Alcalde, NM",2328.0,44594.0,289.0,107.0,105.0,177,36.0853929,-106.0575161
"Alcester, SD",1667.0,53542.0,395.0,180.0,191.0,850,43.0276848,-96.6268026
"Alcoa, TN",7745.0,46907.0,1587.0,385.0,911.0,9482,35.8095702,-83.9758571
"Alcolu, SC",1838.0,39583.0,358.0,146.0,76.0,432,33.7591063,-80.224889
"Alcova, WY",278.0,102031.0,28.0,20.0,43.0,18,42.5533329,-106.7294615
"Alda, NE",988.0,45385.0,226.0,54.0,75.0,376,40.8665498,-98.4679923
"Alden, IA",1715.0,56648.0,421.0,178.0,164.0,88,42.5115761,-93.3803085
"Alden, KS",208.0,64500.0,20.0,1.0,24.0,145,38.2438388,-98.3117296
"Alden, MI",1332.0,54844.0,352.0,57.0,208.0,125,44.8791868,-85.2729848
"Alden, MN",1343.0,63889.0,337.0,167.0,110.0,661,43.6674941,-93.5698039
"Alden, NY",12332.0,75784.0,2491.0,1329.0,1459.0,2624,42.8988786,-78.49460690000002
"Alder, MT",273.0,37917.0,96.0,7.0,56.0,112,45.3215907,-112.1092159
"Alderpoint, CA",262.0,57222.0,74.0,17.0,0.0,192,40.1613467,-123.6157293
